category;scope;category_name;RMSE;MSE;MAE;MAPE;R2;StandardDeviation
SubSector;CF2_log;Other Diversified Financial Services;1.393511054;1.941873059;1.25898679;0.306747208;-0.779000749;0.597348577
SubSector;CF2_log;Diversified Chemicals;0.516548664;0.266822522;0.436276072;0.074391503;-0.527998714;0.498586897
SubSector;CF2_log;Airlines;2.598632433;6.752890522;2.532584372;0.637953576;-8.050124458;0.582157126
SubSector;CF2_log;Steel;1.060225421;1.124077943;0.967856289;0.159511941;-0.758849457;0.566574378
SubSector;CF2_log;Airport Services;0.913535679;0.834547436;0.754970589;0.23560169;0.232307919;0.913480909
SubSector;CF2_log;Semiconductors;0.604072995;0.364904184;0.555639523;0.094962334;-0.660150372;0.339645401
SubSector;CF2_log;Electric Utilities;1.289105852;1.661793899;1.110508516;0.199232922;-0.874809798;1.024824572
SubSector;CF2_log;Electronic Components;1.139979841;1.299554038;1.068697927;0.188293979;-1.833436749;0.406864364
SubSector;CF2_log;Distributors;0.305046195;0.093053181;0.259669457;0.05641694;-4.86106494;0.280362695
SubSector;CF2_log;Health Care REITs ;0.781707092;0.611065977;0.71609989;0.136313268;-2.174019598;0.313475557
SubSector;CF2_log;Electronic Equipment & Instruments ;0.766868584;0.588087425;0.711690286;0.181072005;0.246298799;0.502736276
SubSector;CF2_log;Construction & Engineering;0.533084466;0.284179048;0.405004004;0.092205019;0.19941108;0.412574189
SubSector;CF2_log;Specialty Chemicals;0.257779167;0.066450099;0.193299004;0.040720268;0.868182272;0.250928955
SubSector;CF2_log;Oil & Gas Storage & Transportation;2.584581465;6.68006135;2.130955923;0.875778779;-1.63460843;1.698822573
SubSector;CF2_log;Homebuilding;0.466084921;0.217235154;0.344597877;0.100576034;0.825617822;0.462410111
SubSector;CF2_log;Renewable Electricity ;1.142790827;1.305970875;0.814871942;0.426068759;-0.178518033;0.970669452
SubSector;CF2_log;Paper Packaging;0.567390223;0.321931665;0.474295654;0.092097339;-0.315736155;0.416876668
SubSector;CF2_log;Highways & Railtracks;1.135940925;1.290361785;0.962728913;0.222459926;-1.764749386;1.09031498
SubSector;CF2_log;Railroads;1.464812498;2.145675655;1.204566897;0.29256864;-0.751106453;1.450699388
SubSector;CF2_log;Drug Retail;0.350647754;0.122953847;0.233277067;0.04747899;0.536284248;0.297524356
SubSector;CF2_log;Trucking;1.061878193;1.127585297;0.890264632;0.213166685;-0.129481344;0.578804097
